Ère,Repère_chronologique,ID,Titre,Coût_Science,Prérequis,Description_historique,Débloque,Source,Statut_image
Paléolithique,Entre -750 000 et -400 000,feu,Maîtrise du feu,1,Aucun,"La maîtrise du feu permet aux groupes humains de se réchauffer, de s'illuminer, de cuire leurs aliments et de se protéger des prédateurs. Les traces les plus anciennes de foyers aménagés se situent entre 750 000 et 400 000 ans avant aujourd'hui selon les sites archéologiques.","Carte Cuisine ; permet de s'illuminer et de voir dans l'obscurité (grottes, campements de nuit)","Frise chronologique interactive, Complètement CHRONO ! 1 (iplusinteractif.com)",À intégrer
Paléolithique,"Dès les origines de la lignée humaine ; pas de date unique précise",taille_pierre,Taille de la pierre,0 (départ),Aucun,"La taille de la pierre (silex, obsidienne) est la première grande technique outillière de l'humanité : elle permet de fabriquer des tranchants pour couper, gratter et chasser.",Carte Outils de pierre et d'os,"Glossaire-index 1, ""Silex"" (p. 45) et ""Artefact"" (p. 45)",À intégrer
Paléolithique,"Le grattoir et la lance sont attestés très tôt ; l'aiguille à coudre en os est plus tardive, autour de -40 000 (Paléolithique supérieur)",outils,Outils de pierre et d'os,4,Taille de la pierre,"Au-delà de l'éclat de pierre brut, la fabrication d'outils spécialisés en os et en pierre marque un tournant technique majeur du Paléolithique : une aiguille pour coudre, un grattoir pour travailler les peaux animales, une lance en bois et en pierre pour la chasse.","Cartes Vêtements de fourrure et Travail du bois ; Unité Lancier","Glossaire-index 1, ""Artefact"" (p. 45)",À intégrer
Paléolithique,—,cuisine,Cuisine,3,Feu,"La cuisson des aliments par le feu améliore leur digestibilité et réduit certains risques sanitaires liés à la nourriture crue.",Prérequis partiel de la carte Agriculture,Connaissances générales (préhistoire) — hors glossaire,À intégrer
Paléolithique,—,vetements_fourrure,Vêtements de fourrure,5,Outils de pierre et d'os,"Les peaux d'animaux chassés, portées brutes ou légèrement travaillées, protègent du froid et permettent d'occuper des territoires plus rigoureux. C'est la première étape, plus simple que le tannage complet du cuir.",Accès aux tuiles de toundra,Connaissances générales (préhistoire) — hors glossaire,À intégrer
Paléolithique,"Techniques de retouche fine (pressure-flaking) attestées à partir du Paléolithique supérieur",outils_avances,Outils de pierre avancés,6,Outils de pierre et d'os,"Une maîtrise plus fine de la taille de la pierre permet de produire des lames plus tranchantes et plus précises, ouvrant la voie à des usages plus spécialisés que les outils de base : vêtements en cuir tanné, armes à distance, voire premières interventions chirurgicales.","Cartes Vêtements de cuir, Projectiles (arc) et Amputation et chirurgies",Connaissances générales (préhistoire) — hors glossaire,À intégrer
Paléolithique,—,travail_bois,Travail du bois,5,Outils de pierre et d'os,"Le façonnage du bois (manches d'outils, structures de campement, futures embarcations) est une compétence technique essentielle, bien que le bois se conserve mal dans les vestiges archéologiques.",Carte Navigation marine ; Unité Bateaux,Connaissances générales (préhistoire) — hors glossaire,À intégrer
Paléolithique,—,vetements_cuir,Vêtements de cuir,7,Outils de pierre avancés,"Le tannage complet des peaux, cousues à l'aiguille, produit un cuir plus durable et plus protecteur que la fourrure brute — une amélioration technique notable pour occuper des territoires encore plus froids.",Protection renforcée sur les tuiles de toundra,Connaissances générales (préhistoire) — hors glossaire,À intégrer
Paléolithique,"Plus tardif que la lance simple ; preuves solides à partir d'environ -20 000",projectiles_arc,Projectiles (arc),7,Outils de pierre avancés,"L'arc et la flèche permettent d'attaquer à distance, ce qui augmente la sécurité et l'efficacité de la chasse par rapport à la lance seule.",Unité Archer,Connaissances générales (préhistoire) — hors glossaire,À intégrer
Paléolithique,"Pratique attestée dès le Néolithique ; certains crânes retrouvés montrent des signes de cicatrisation osseuse",amputation_chirurgie,Amputation et chirurgies,7,Outils de pierre avancés,"Des crânes retrouvés portant des perforations aux bords cicatrisés témoignent de la pratique d'interventions chirurgicales, dont la trépanation, dès la préhistoire — preuve que certains patients y survivaient.",Bonus de Bonheur (soins de la communauté) ; peut débloquer une carte historique liée à la guérison,Connaissances générales (archéologie) — hors glossaire,À intégrer
