Titre,Débloqué_par,Coût_1re_copie,Coût_copies_suivantes,Type_coût,Actions,Description_historique,Évolue_vers,Source,Statut_image
Chasseur-Cueilleur,Départ (gratuit),0,"Courbe croissante en Nourriture (ex. 3e=4, 4e=6, 5e=9…) — règle anti-accumulation, voir README",Nourriture,"Chasse (tuiles forêt/plaine/toundra), Cueillir (tuiles forêt/plaine), Tannage — construire un site de tannage (débloqué par Vêtements de cuir), Se déplacer","Unité de départ de toute civilisation : elle combine la chasse du gros gibier et la cueillette de plantes, de fruits et de racines, les deux rôles de subsistance de base des sociétés paléolithiques.",Travailleur (avec Agriculture) ; Agriculteur (avec Domestication des animaux),Connaissances générales — hors glossaire,À intégrer
Travailleur,Agriculture,6,—,Nourriture,"Construire une amélioration (ferme, pâturage, mine, etc.)","Évolution du Chasseur-Cueilleur une fois l'agriculture maîtrisée ; se consacre à l'aménagement du territoire plutôt qu'à la subsistance directe.",—,Connaissances générales — hors glossaire,À intégrer
Agriculteur,Domestication des animaux,6,—,Nourriture,Stationné sur une ferme/un pâturage : augmente son rendement continu,"Spécialiste distinct du Travailleur : plutôt que de construire, il opère une exploitation agricole ou d'élevage pour en augmenter le rendement.",—,Connaissances générales — hors glossaire,À intégrer
Lancier,Outils de pierre et d'os,5,—,Nourriture,"Chasser, Se défendre","Unité armée d'une lance en bois et en pierre — un des outils spécialisés du Paléolithique — pour la défense du campement ou la chasse au gros gibier.",Guerrier (avec Travail du bronze),Connaissances générales — hors glossaire,À intégrer
Guerrier,Travail du bronze,9,—,Nourriture,"Se défendre, Combattre","Équipé d'armes en bronze, plus efficaces que le cuivre, la pierre ou le bois ; symbolise l'entrée dans l'âge du bronze.",—,"Glossaire-index 1, ""Métallurgie"" (p. 48)",À intégrer
Archer,Projectiles (arc),7,—,Nourriture,"Attaquer à distance, Chasser","Combat ou chasse à distance grâce à l'arc, une avancée majeure par rapport aux armes de mêlée.",—,Connaissances générales — hors glossaire,À intégrer
Artisan,Division du travail,6,—,Nourriture,Produire des biens artisanaux (bonus Argent/Culture),"Travailleur spécialisé libéré des tâches de subsistance grâce au surplus agricole ; incarne la division du travail.",—,"Glossaire-index 1, ""Artisan""/""Division du travail"" (p. 56)",À intégrer
Prophète,Animisme,7,—,Nourriture,Fonder/renforcer une croyance,Figure religieuse ou spirituelle qui guide les pratiques de croyance de la civilisation.,—,Connaissances générales — hors glossaire,À intégrer
Explorateur,Navigation marine ou Travail du bois,5,—,Nourriture,Explorer (lève le brouillard de guerre),Se déplace au loin pour découvrir le territoire environnant et entrer en contact avec d'autres groupes.,—,Connaissances générales — hors glossaire,À intégrer
Bateaux,Navigation marine,7,—,Nourriture,"Se déplacer sur l'eau, Pêcher au large","Premières embarcations permettant la pêche au large et le déplacement le long des côtes.",—,Connaissances générales — hors glossaire,À intégrer
Colon,"Émerge quand un Chasseur-Cueilleur combine deux actions de subsistance sur la même tuile",4,—,Nourriture,Fonder un Campement (premier établissement),"Représente la fondation d'un nouvel établissement ; à ne pas confondre avec le Travailleur, qui aménage le territoire une fois l'établissement fondé.",—,Connaissances générales — hors glossaire,À intégrer
