Type,Repère_chronologique,Titre,Description_historique,Effet_ou_rôle_dans_le_jeu_(proposition),Source_citation,Statut_image
Carte gouvernance,—,Cité-État,"Ville et son territoire environnant, indépendante des autres cités, gouvernée par un roi qui détient le pouvoir absolu.",Palier d'établissement au-delà de Mégapole OU nouvelle carte gouvernance à l'entrée du Chapitre 2 ; remplace/complète Chefferie-Conseil.,"Résumé ch.2 ; Glossaire-index 2 ""Cité-État"" (p. 82)",À intégrer
Carte gouvernance,—,Royaume,"En prenant le contrôle d'autres cités-États, un roi agrandit son royaume.",Fusionner plusieurs civilisations élèves (si pertinent pédagogiquement) ou bonus de rendement à l'échelle régionale.,"Résumé ch.2 ; Glossaire-index 2 ""Royaume"" (p. 82)",À intégrer
Carte gouvernance,—,Empire,"Un roi qui domine plusieurs royaumes ou cités-États devient un empereur.",Palier de gouvernance supérieur au Royaume.,"Résumé ch.2 ; Glossaire-index 2 ""Empire"" (p. 82)",À intégrer
Carte scientifique,"Vers -3300 (large : IVe millénaire av. J.-C.)",Écriture cunéiforme,"Selon de nombreux historiens, l'apparition de l'écriture marque la fin de la préhistoire et le début de l'Antiquité. Née en Mésopotamie au IVe millénaire av. J.-C. pour répondre à des besoins économiques, politiques, sociaux et culturels, elle prend d'abord la forme de pictogrammes tracés au calame sur des tablettes d'argile, qui se transforment peu à peu en symboles schématisés puis en écriture cunéiforme (« en forme de coins »), capable de représenter des syllabes et des sons. Peu de gens maîtrisent les centaines de signes nécessaires : seuls les scribes les apprennent, au terme d'un long apprentissage.","Débloque le district Campus (déjà présent dès l'Ère 1 via Écriture) ; débloque le rôle Scribe et la carte Code de Hammourabi.","Frise chronologique interactive, Complètement CHRONO ! 1 (iplusinteractif.com) ; Résumé ch.2 ; Test de connaissances ch.2, Q5 et Q14 (vocabulaire : calame, tablette d'argile, écriture phonétique vs pictogramme)",À intégrer
Carte scientifique,Vers -1400,Alphabet (dérivé du cunéiforme),"Le premier alphabet connu dérive de l'écriture cunéiforme et date d'environ 1400 av. J.-C.",Bonus de Science/Culture ; prépare l'alphabet phénicien des chapitres suivants.,Résumé ch.2,À intégrer
Carte culturelle (Justice),"Vers -1800 (XVIIIe siècle av. J.-C.)",Code de Hammourabi,"Un des plus anciens codes de lois connus, rédigé vers le XVIIIe siècle av. J.-C. sous le roi Hammourabi. Gravé sur une stèle montrant le roi et le dieu Shamash, avec 282 articles en écriture cunéiforme. Permet de faire connaître les lois à toute la population et de rendre la justice de façon uniforme.",Débloque la carte gouvernance/culturelle Justice ; bonus de Bonheur (stabilité) pour la civilisation qui l'adopte.,"Résumé ch.2 ; Activités supplémentaires ch.2, doc. 8 ; Test de connaissances ch.2, Q11",À intégrer
Carte croyance,—,Polythéisme mésopotamien,"Chaque cité-État est placée sous la protection d'une divinité. Des temples, dont les ziggourats, sont construits pour honorer les dieux. Les prêtres sont considérés comme les intermédiaires entre la population et les dieux.",Débloque le district Sanctuaire (ziggourat) ; remplace/complète Animisme pour une civilisation qui progresse vers l'Antiquité.,"Résumé ch.2 ; Test de connaissances ch.2, Q9",À intégrer
District,—,Sanctuaire (ziggourat),"Lieu consacré aux cérémonies religieuses, à plus grande échelle que le Site saint de l'Ère 1 — version monumentale typique des cités mésopotamiennes.",Génère de la Culture et de la Foi/Croyance ; version « avancée » du district Site saint.,"Glossaire-index 2 ""Sanctuaire"" (p. 83) ; Résumé ch.2",À intégrer
Carte culturelle,—,Épopée de Gilgamesh,"Long récit mi-légendaire mi-historique mettant en valeur un personnage héroïque. Sa diffusion dans l'ensemble du Croissant fertile, portée par les réseaux d'échanges des commerçants, illustre comment la culture mésopotamienne se répand hors de ses frontières.",Bonus de Culture partagé avec les civilisations voisines lors d'un échange commercial.,"Résumé ch.2 ; Glossaire-index 2 ""Épopée""/""Mythologique"" (p. 93) ; Test de connaissances ch.2, Q13",À intégrer
Grand personnage,-2150 à -2120,Gudéa de Lagash,"Souverain (roi) de la cité-État de Lagash, en fonction entre 2150 et 2120 av. J.-C. Une statuette le représente en position de prière ; l'inscription en cunéiforme explique qu'il a fait construire un temple dédié au dieu Ningirsu.",Grand personnage jouable/historique — bonus de Culture ou de Foi à son évocation.,Activités supplémentaires ch.2 doc. 2,À intégrer
Grand personnage,"Vers -1800 (XVIIIe siècle av. J.-C.)",Hammurabi,"Roi de Babylone (vers le XVIIIe siècle av. J.-C.), auteur d'un des plus anciens codes de lois connus (voir carte Code de Hammourabi).",Grand personnage jouable/historique — bonus de Bonheur ou débloque la carte Justice plus tôt.,Résumé ch.2 ; Activités supplémentaires ch.2 doc. 8,À intégrer
Grand personnage,—,Sargon II,"Roi assyrien connu pour la construction d'un palais dont la réalisation aurait mobilisé le travail d'esclaves.",Grand personnage jouable/historique — bonus de Production.,Activités supplémentaires ch.2 doc. 6 et 12,À intégrer
Grand personnage,-640 à -620 (période du relief le représentant),Assurbanipal,"Roi assyrien représenté sur son char dans l'iconographie mésopotamienne ; règne associé à la puissance militaire de l'empire assyrien.",Grand personnage jouable/historique — bonus militaire/défensif.,Activités supplémentaires ch.2 doc. 4,À intégrer
Rôle social,—,Scribe,"Personne formée à l'écriture cunéiforme, chargée de tenir les comptes, rédiger les contrats, consigner les lois et parfois diriger des écoles de scribes. Occupe une position sociale élevée et fait souvent partie de la noblesse.","Unité/spécialiste rattaché au Campus ou à l'administration d'un établissement ; condition pour débloquer certaines cartes (Code de lois, Cadastre).","Résumé ch.2 ; Test de connaissances ch.2, Q7-Q8 ; Activités supplémentaires ch.2, doc. 9",À intégrer
Information (hiérarchie sociale),—,Hiérarchie sociale mésopotamienne,"Structure à quatre niveaux : le roi (ou l'empereur) au sommet ; les nobles (minorité — famille royale, chefs d'armée, certains prêtres et scribes) ; le peuple (majorité — artisans, commerçants, soldats, paysans) ; les esclaves à la base.","Sert de référence pour équilibrer les effets de Bonheur/Pouvoir des cartes gouvernance du Chapitre 2 ; peut devenir une carte de réflexion écrite (comparer à la hiérarchie de l'Ère 1).",Résumé ch.2 (schéma de la pyramide sociale),À intégrer
Territoire / infrastructure,—,Canal d'irrigation,"Les Mésopotamiens détournent l'eau du Tigre et de l'Euphrate vers leurs champs grâce à des canaux, ce qui favorise à la fois l'agriculture et le commerce fluvial.",Amélioration de tuile ; bonus de Nourriture et d'Argent pour les tuiles adjacentes à un fleuve.,"Test de connaissances ch.2, Q3 (corrigé) ; Activités supplémentaires ch.2, doc. 11","À intégrer (photo, doc. 11)"
Carte historique,Vers -3300,Naissance de l'écriture en Mésopotamie,"Déclenchée à l'entrée du Chapitre 2 (ou automatiquement pour toute civilisation qui atteint le palier Cité-État). Marque, selon de nombreux historiens, le passage de la préhistoire à l'Antiquité.",Bonus ponctuel de Science ; débloque officiellement le sous-ensemble de cartes du Chapitre 2.,"Frise chronologique interactive, Complètement CHRONO ! 1 (iplusinteractif.com) ; Résumé ch.2",À intégrer
